cino,offence_type,offfence_category
DLET010004652012,PSA,I
DLET010013062013,PSA,I
DLSW010036162016,SA,I
DLSW010035462016,SH,I
DLSW010024542017,APSA,I
DLSW010073912016,SH,I
DLSW010053592016,SH,I
AS22010000272018,SH,I
AS22010000282018,SH,I
AS22010000502018,Not Available,Offence not known
AS22010000552018,PSA,I
AS22010000702018,SA,I
AS22010000922018,PSA,I
AS22010001012019,APSA,I
AS22010001052018,SA,I
AS22010001222018,SA,I
AS22010001262018,PSA,I
AS22010001272018,PSA,I
AS22010001382018,PSA,I
AS22010001452018,PSA,I
AS22010001542018,SA,I
AS22010001762018,SA,I
AS22010001792018,PSA,I
AS22010002052018,PSA,I
AS22010002062018,PSA,I
AS22010002282018,PSA,I
AS22010002492018,PSA,I
AS22010002792018,SA,I
AS22010003072018,SA,I
AS22010003112018,PSA,I
AS22010003122018,SA,I
AS22010003342018,PSA,I
AS22010003522017,SA,I
AS22010004232018,PSA,I
AS22010004312018,PSA,I
AS22010004412018,PSA,I
AS22010004432018,SA,I
AS22010004502018,PSA,I
AS22010004562018,SA,I
AS22010004742019,SA,I
AS22010005492017,SA,I
AS22010005512017,PSA,I
AS22010005522017,SA,I
AS22010005532017,Not Available,Offence not known
AS22010005542017,PSA,I
AS22010005552017,PSA,I
AS22010005562017,SA,I
AS22010005572017,APSA,I
AS22010005622017,PSA,I
AS22010005632017,PSA,I
AS22010005642017,PSA,I
AS22010005652017,PSA,I
AS22010005662017,APSA,I
ASDB010004832015,ASA,I
AS22010006082017,PSA,I
AS22010006862017,PSA,I
AS22010007032016,Attempt to PSA,II
AS22010007062016,ASA,I
AS22010008222017,PSA,I
AS22010008322017,PSA,I
AS22010008912017,PSA,I
AS22010009022017,PSA,I
AS22010009082017,ASA,I
AS22010009152017,PSA,I
ASDB010000062016,SA,I
ASDB010000142017,PSA,I
ASDB010000212016,PSA,I
ASDB010000322016,SA,I
ASDB010000332016,PSA,I
ASDB010000382015,SA,I
ASDB010000452015,Not Available,Offence not known
ASDB010000482016,SA,I
ASDB010000822016,SA,I
ASDB010000832015,PSA,I
ASDB010000832016,SA,I
DLET010001772013,PSA,I
ASDB010001512016,SA,I
ASDB010001522016,PSA,I
ASDB010001602015,PSA,I
ASDB010002572016,PSA,I
ASDB010002582016,SA,I
ASDB010002592016,SA,I
ASDB010002722014,SA,I
ASDB010003212016,PSA,I
ASDB010003582015,SA,I
ASDB010003602015,PSA,I
ASDB010003612015,PSA,I
ASDB010003642017,PSA,I
ASDB010003652017,APSA,I
ASDB010003692015,SA,I
ASDB010003692016,SA,I
DLET010005622019,Not Available,Offence not known
ASDB010003802016,SA,I
ASDB010003892015,PSA,I
ASDB010003902017,PSA,I
ASDB010003992015,ASA,I
ASDB010004152017,SH,I
ASDB010004222017,SA,I
ASDB010004272015,PSA,I
ASDB010004382015,SA,I
ASDB010004392015,SH,I
ASDB010004472017,SA,I
ASDB010004582015,SA,I
ASDB010004712015,SA,I
ASDB010004872015,PSA,I
ASDB010004912015,PSA,I
ASDB010004912016,PSA,I
ASDB010004922016,PSA,I
DLWT010000342013,Not Available,Offence not known
ASDB010004932015,SA,I
ASDB010005132015,SA,I
ASDB010005182015,SA,I
ASDB010005352015,SH,I
ASDB010005382014,SA,I
ASDB010005412015,SA,I
ASDB010005442017,PSA,I
ASDB010005492016,PSA,I
ASDB010005522015,SH,I
ASDB010005572017,PSA,I
ASDB010005682016,PSA,I
ASDB010005692016,PSA,I
ASDB010005722014,PSA,I
ASDB010005852016,SA,I
ASDB010005862016,PSA,I
ASDB010005892015,PSA,I
ASDB010005912016,SA,I
ASDB010006002016,PSA,I
ASDB010006082014,SA,I
ASDB010006272016,SA,I
ASDB010006332016,PSA,I
ASDB010006402015,PSA,I
ASDB010006452017,SH,I
ASDB010006472017,SA,I
ASDB010006532015,SA,I
ASDB010006622015,SA,I
ASDB010006662014,PSA,I
